"Estado HDU",Prioridad,"Estado Caso de prueba","Resultado esperado","Resultado obtenido",Automatizada,"User Stories",Evidencia
Backlog,Alta,Aprobado,"Cliente activado con confirmación",,"No aplica","Suspender y activar cuenta cliente",
Backlog,Alta,Aprobado,"Cliente suspendido con confirmación",,"No aplica","Suspender y activar cuenta cliente",
Backlog,Alta,Aprobado,"Cliente no creado, mensaje de error",,"No aplica","Crear nuevo cliente",
Backlog,Media,Aprobado,"Cliente no actualizado, mensaje de error",,"No aplica","Editar cliente",
Backlog,Alta,Aprobado,"Cliente eliminado con advertencia y registro",,"No aplica","Eliminar Clientes",
Backlog,Alta,Aprobado,"Cliente suspendido no actualizado",,"No aplica","Asignar o cambiar plan cliente",
Backlog,Alta,Aprobado,"Empresa no creada, mensaje de error",,"No aplica","Crear empresas",
Backlog,Alta,Pendiente,"Avanza al flujo de pago si válido",,No,"Selección de plan y registro de empresa",
Backlog,Alta,Pendiente,"Redirige con detalle del plan",,No,"Plataforma de pago (Mercado Pago)",
Backlog,Alta,Pendiente,"Cuenta activada y notificación enviada",,No,"Plataforma de pago (Mercado Pago)",
Backlog,Alta,Aprobado,"Rechaza acceso y muestra error",,Si,"Autenticación de usuario",
Backlog,Alta,Aprobado,"Acceso correcto al sistema",,Si,"Autenticación de usuario",
Backlog,Alta,Aprobado,"Rechaza contraseña inválida",,Si,"Cambio de contraseña",
Backlog,Alta,Aprobado,"Actualiza contraseña y confirma",,Si,"Cambio de contraseña",
Backlog,Alta,Aprobado,"Cierra sesión y redirige al login",,Si,"Cierre de sesión",
Backlog,Media,Aprobado,"Métricas correctas desplegadas",,"No aplica","Consultar métricas por el listado de clientes",
Backlog,Baja,Aprobado,"Logo y nombre visibles",,"No aplica","Despliegue de logo y empresa para sesión de colaboradores",
Backlog,Alta,Pendiente,"Solo deja cargar archivos en PDF",,No,,
Backlog,Alta,,,,,,
