HDU,Body,"Usuarios afectados","Estado HDU",Desarrollador,Defecto,Prioridad,"Source Folder",ID_HDU
"Despliegue de logo y empresa para sesión de colaboradores",<p><strong><u>Criterios&nbsp;de&nbsp;Aceptacion</u></strong></p><p></p><p></p><p><strong><u>Criterio&nbsp;1:Desplegar&nbsp;Logo&nbsp;empresa</u></strong></p><p></p><p>Dado:&nbsp;Administrador-Gerente-Usuario</p><p></p><p>Cuando:Ingresen&nbsp;a&nbsp;la&nbsp;herramienta&nbsp;y&nbsp;recorran&nbsp;el&nbsp;sitio&nbsp;puedan&nbsp;visualizar&nbsp;en&nbsp;todo&nbsp;momento&nbsp;el&nbsp;logo&nbsp;de&nbsp;la&nbsp;empresa</p><p></p><p>Entonces:El&nbsp;colaborador&nbsp;podra&nbsp;navegar&nbsp;por&nbsp;el&nbsp;sitio&nbsp;y&nbsp;el&nbsp;logo&nbsp;no&nbsp;deberia&nbsp;interferir&nbsp;o&nbsp;cambiar&nbsp;el&nbsp;funcionamiento&nbsp;actual</p><p></p><p><strong><u>Criterio&nbsp;2:Desplegar&nbsp;nombre&nbsp;empresa</u></strong></p><p></p><p>Dado:Administrador-Gerente-Usuario</p><p></p><p>Cuando:Ingresen&nbsp;a&nbsp;la&nbsp;herramienta&nbsp;y&nbsp;recorran&nbsp;el&nbsp;sitio&nbsp;puedan&nbsp;visualizar&nbsp;en&nbsp;todo&nbsp;momento&nbsp;el&nbsp;nombre&nbsp;de&nbsp;la&nbsp;empresa</p><p></p><p>Entonces:&nbsp;El&nbsp;colaborador&nbsp;podra&nbsp;navegar&nbsp;por&nbsp;el&nbsp;sitio&nbsp;y&nbsp;el&nbsp;nombre&nbsp;no&nbsp;deberia&nbsp;interferir&nbsp;o&nbsp;cambiar&nbsp;el&nbsp;funcionamiento&nbsp;actual</p><p></p><p>Mockup:</p>,Admin,"En Desarrollo","hector sharpe",,Baja,"User Stories",11
"Suspender y activar cuenta cliente","<p><strong>Criterio&nbsp;de&nbsp;aceptacion&nbsp;1:&nbsp;</strong>Activar Clientes</p><p></p><p><strong>Dado</strong>:&nbsp;que&nbsp;quiero activar un cliente</p><p></p><p><strong>Cuando</strong>:&nbsp;Ingreso&nbsp;al panel de configuracion</p><p></p><p><strong>Entonces</strong>:&nbsp;Se&nbsp;despliega&nbsp;el&nbsp;listado&nbsp;de Clientes en estado suspendido para poder Activar</p><p></p><p><strong>Criterio&nbsp;de&nbsp;aceptacion&nbsp;2:&nbsp;</strong>Suspender Clientes</p><p></p><p><strong>Dado</strong>:&nbsp;que&nbsp;quiero suspender un cliente</p><p></p><p><strong>Cuando</strong>:&nbsp;Ingreso&nbsp;al panel de configuracion</p><p></p><p><strong>Entonces</strong>:&nbsp;Se&nbsp;despliega&nbsp;el&nbsp;listado&nbsp;de Clientes en estado activo para poder suspender</p><p></p><p>Consideraciones&nbsp;Tecnicas:</p><p></p><p>Debe manejar la fecha de ultimo cambio de estado<br>Activacion o suspension deben arrojar mensaje de confirmacion</p><p>Debe manejar el nombre de quien activo o suspendio al cliente</p><p>Debe manejar el plan del cliente</p>",Admin,"En Certificacion","hector sharpe",,Alta,"User Stories",13
"Crear nuevo cliente","<p><strong>Criterio&nbsp;de&nbsp;aceptacion&nbsp;1:&nbsp;</strong>crear Clientes</p><p></p><p><strong>Dado</strong>:&nbsp;que&nbsp;quiero crear un cliente</p><p></p><p><strong>Cuando</strong>:&nbsp;Ingreso&nbsp;al panel de crear cliente</p><p></p><p><strong>Entonces</strong>:&nbsp;Se&nbsp;despliega&nbsp;formulario para crear cliente</p><p></p><p></p><p></p><p>Consideraciones&nbsp;Tecnicas:<br><br>El nombre debe tener minimo de caracteres<br>Campo correo debe ser valido</p><p>El logo debe ser en formato correcto<br>Los planes deben ser 4</p><p>Debe formatear las mayusculas en el nombre<br><img src=""https://startinfinity.s3.us-east-2.amazonaws.com/item-files/37673/aZHuPM08wZQuldCk015pGM9x0aa8pJn9mOTHz4RQ.png""></p>",Superadmin,"En Certificacion","hector sharpe",,Alta,"User Stories",14
"Editar cliente","<p><strong>Criterio&nbsp;de&nbsp;aceptacion&nbsp;1:&nbsp;</strong>Editar Clientes</p><p></p><p><strong>Dado</strong>:&nbsp;que&nbsp;quiero editar un cliente</p><p></p><p><strong>Cuando</strong>:&nbsp;Ingreso&nbsp;al panel de editar cliente</p><p></p><p><strong>Entonces</strong>:&nbsp;Se&nbsp;despliega&nbsp;formulario para editar cliente</p><p></p><p></p><p></p><p>Consideraciones&nbsp;Tecnicas:<br><br>El nombre debe tener minimo de caracteres<br>Campo correo debe ser valido</p><p>El logo debe ser en formato correcto<br>No debe permitir guardar con nombre ya existente<br><br><img src=""https://startinfinity.s3.us-east-2.amazonaws.com/item-files/37673/KIP4CaV4iM7c6URX6QJClAu77AQehP6yGdm1ROoe.png""></p>",Superadmin,"En Certificacion","hector sharpe",,Alta,"User Stories",15
"Eliminar Clientes","<p><strong>Criterio&nbsp;de&nbsp;aceptacion&nbsp;1:&nbsp;</strong>Eliminar Clientes</p><p></p><p><strong>Dado</strong>:&nbsp;que&nbsp;quiero Eliminar un cliente</p><p></p><p><strong>Cuando</strong>:&nbsp;Ingreso&nbsp;al panel de Eliminar cliente</p><p></p><p><strong>Entonces</strong>:&nbsp;Se&nbsp;despliega&nbsp;formulario para Eliminar cliente y ventana de confirmacion</p><p></p><p></p><p>Consideraciones&nbsp;Tecnicas:<br><br>Debe advertir que la operacion no se puede deshacer<br>Debe Advertir si el cliente aun esta activo</p><p>Debe quedar registrado la fecha en que se creo y elimino</p><p>Debe enviar una notificacion al cliente.<br><br><img src=""https://startinfinity.s3.us-east-2.amazonaws.com/item-files/37673/t4JC4gr0aMvCVGTx6ZKTmgHKQK0vvUxxLBp3E2xa.png""></p>",Admin,"En Certificacion","hector sharpe",,Alta,"User Stories",16
"Asignar o cambiar plan cliente","<p><strong>Criterio&nbsp;de&nbsp;aceptacion&nbsp;1:&nbsp;</strong>Cambiar plan Clientes</p><p></p><p><strong>Dado</strong>:&nbsp;que&nbsp;quiero cambiar plan a un cliente</p><p></p><p><strong>Cuando</strong>:&nbsp;Ingreso al listado de clientes</p><p></p><p><strong>Entonces</strong>:&nbsp;Se despliegan clientes con sus planes y campo que permita seleccionar y actualizar el plan</p><p></p><p></p><p>Consideraciones&nbsp;Tecnicas:<br><br>Debe Permitir actualizar los planes de los clientes Activos mas no suspendidos</p><p>Debe enviar notificacion con la actualizacion de plan.</p><p></p><p><img src=""https://startinfinity.s3.us-east-2.amazonaws.com/item-files/37673/1Y3Bw6P2V6oB1wROIqNs1SI4LOfQ7AUivIzegRW9.png""></p>",Admin,"En Certificacion","hector sharpe",,Alta,"User Stories",17
"Consultar métricas por el listado de clientes","<p><strong>Criterio&nbsp;de&nbsp;aceptacion&nbsp;1:&nbsp;</strong>Metricas Globales</p><p></p><p><strong>Dado</strong>:&nbsp;que&nbsp;quiero consultar graficamente mis clientes</p><p></p><p><strong>Cuando</strong>:&nbsp;Ingreso a las metricas</p><p></p><p><strong>Entonces</strong>:&nbsp;Se despliega la opcion de seleccionar varias empresas desplegando <br><br>Clientes total :Sumatoria de todos</p><p>CV consumidos:Sumatoria de todos<br>cambio mensual: Validar**<br><br><img src=""https://startinfinity.s3.us-east-2.amazonaws.com/item-files/37673/fnfjlj8vosMw8p9t4LMjiShNY8MvqjfVtRyZjDsq.png""></p><p></p><p></p><p><strong>Criterio&nbsp;de&nbsp;aceptacion&nbsp;2:&nbsp;</strong>Metricas por cliente</p><p>el estado de un cliente</p><p></p><p><strong>Cuando</strong>:&nbsp;Ingreso a las metricas</p><p></p><p><strong>Entonces</strong>:&nbsp;Se despliega la opcion de seleccionar un cliente<br><br>Uso del plan :% ocupado</p><p>CV consumidos:Sumatoria de todos<br>Plan Actual: Plan Activo</p><p></p><p>Consideraciones&nbsp;Tecnicas:<br><br>Debe manejar la informacion en tiempo real</p><p>No debe ser editable<br><br><img src=""https://startinfinity.s3.us-east-2.amazonaws.com/item-files/37673/vCmp5Oj7kuNqGvhlmkbkbL7RrXi1vmyHi2OTts2N.png""></p>",Admin,"En Certificacion","hector sharpe",,Alta,"User Stories",18
"Configuración de API key","<p><strong>Criterio&nbsp;de&nbsp;aceptacion&nbsp;1:&nbsp;</strong>Configuracion de IA</p><p></p><p><strong>Dado</strong>:&nbsp;que&nbsp;quiero asociar mi empresa a IA</p><p></p><p><strong>Cuando</strong>:&nbsp;Ingreso a la configuracion</p><p></p><p><strong>Entonces</strong>:&nbsp;Se despliega panel para cargar APi y generar clave</p>",Admin,"En Desarrollo","hector sharpe",,Media,"User Stories",19
"Plataforma de pago (Mercado Pago)","<p><strong>Criterio de aceptación 1: Redirección a Mercado Pago</strong></p><ul><li><p><strong>Dado</strong>: que completé el formulario de registro</p></li><li><p><strong>Cuando</strong>: confirmo la contratación del plan</p></li><li><p><strong>Entonces</strong>: se redirige a la plataforma de pago de Mercado Pago con el detalle del plan seleccionado.</p></li></ul><p></p><p><strong>Criterio de aceptación 2: Confirmación de pago</strong></p><ul><li><p><strong>Dado</strong>: que realicé el pago en Mercado Pago</p></li><li><p><strong>Cuando</strong>: la transacción es aprobada</p></li><li><p><strong>Entonces</strong>: se muestra mensaje de confirmación y se activa la cuenta de la empresa con el plan contratado.</p></li></ul><p></p><p><strong>Consideraciones técnicas:</strong></p><ul><li><p>Validar integración con API de Mercado Pago.</p></li><li><p>Manejar estados de transacción: aprobada, pendiente, rechazada.</p></li><li><p>Registrar fecha y hora del pago.</p></li><li><p>Enviar notificación al correo del administrador con confirmación del plan</p></li></ul><p></p>",Visitor,"Lista para QA",,,Alta,"User Stories",116
"Crear empresas","<p><strong>Criterio&nbsp;de&nbsp;aceptacion&nbsp;1:&nbsp;</strong>Crear empresas como SuperAdmin</p><p></p><p><strong>Dado</strong>:&nbsp;que&nbsp;quiero tener nuevos cliente</p><p></p><p><strong>Cuando</strong>:&nbsp;Completo el formulario de crear empresa</p><p></p><p><strong>Entonces</strong>:&nbsp;Se despliega formulario para crear nueva empresa con los campos:<br><br><br>Nombre empresa<br>Descripcion </p><p>URL BD<br>Plan de la empresa<br><br>Datos del administrador principal:<br>Nombre</p><p>Apellido<br>Correo<br>Contraseña</p>",Admin,"En Certificacion","hector sharpe",,Alta,"User Stories",114
